	LX	LOIII	class
0	42.69897000433602	40.6	leg
1	43.72427586960079	40.14	leg
2	42.380211241711606	40.14	leg
3	41.30102999566398	40.94	leg
4	42.30102999566398	40.7	leg
5	41.14612803567824	39.21	leg
6	43.81291335664285	42.18	heg
7	42.67209785793572	41.0	heg
8	44.25527250510331	41.45	heg
9	43.380211241711606	40.55	heg
10	41.0	41.03	heg
11	43.25527250510331	40.91	heg
12	43.79239168949825	41.75	heg
13	44.11394335230683	41.34	heg
